Congruent,Incongruent,≤Ó“Ï÷µ,
12.079,19.278,-7.199,0.58644964
16.791,18.741,-1.95,36.17781904
9.564,21.214,-11.65,13.58069904
8.63,15.687,-7.057,0.82410084
14.669,22.803,-8.134,0.02862864
12.238,20.878,-8.64,0.45589504
14.692,24.572,-9.88,3.66799104
8.987,17.394,-8.407,0.19554084
9.401,20.762,-11.361,11.53417444
14.48,26.282,-11.802,14.72410384
22.328,24.524,-2.196,33.27905344
15.298,18.644,-3.346,21.33331344
15.073,17.51,-2.437,30.55657284
16.929,20.33,-3.401,20.82827044
18.2,35.255,-17.055,82.63173604
12.13,22.158,-10.028,4.25679424
18.495,25.139,-6.644,1.74451264
10.639,20.429,-9.79,3.33135504
11.344,17.425,-6.081,3.54870244
12.369,34.288,-21.919,194.7196976
12.944,23.894,-10.95,8.91141904
14.233,17.96,-3.727,17.95894884
19.71,22.058,-2.348,31.54844224
16.004,21.157,-5.153,7.90621924
,,,
14.051125,22.01591667,-7.964791667,544.33044
